,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
318,thinadhoo,80,MV,1552666773,100,0.53,72.93,83.35,6.42
319,lazaro cardenas,75,MX,1552664400,34,28.39,-105.62,51.8,13.87
321,richards bay,0,ZA,1552666773,66,-28.77,32.06,81.82,9.44
322,kenai,1,US,1552666324,79,60.55,-151.26,33.01,13.87
324,teguise,0,ES,1552663800,88,29.06,-13.56,66.2,17.22
325,inhambane,75,MZ,1552662000,69,-23.87,35.38,82.4,10.29
326,mar del plata,8,AR,1552666373,69,-46.43,-67.52,61.93,6.76
327,cairns,40,AU,1552666217,94,-16.92,145.77,77,1.12
328,kermanshah,40,IR,1552665600,61,34.32,47.07,46.4,4.7
329,udarnyy,36,RU,1552666774,81,54.34,42.86,27.82,7.65
330,baykit,88,RU,1552666476,92,61.68,96.39,28.36,3.18
331,mildura,0,AU,1552665681,48,-34.18,142.16,61,4.7
332,havlickuv brod,75,CZ,1552666719,81,49.61,15.58,46.99,14.99
333,skegness,75,GB,1552666655,54,53.14,0.34,55.4,26.4
334,pitimbu,75,BR,1552665600,62,-7.47,-34.81,87.8,16.11
335,kieta,88,PG,1552666518,100,-6.22,155.63,75.34,2.62
336,santa maria,20,BR,1552662000,57,-29.69,-53.81,78.8,6.93
337,bainbridge,68,US,1552666598,57,30.9,-84.58,81,11.23
338,gorontalo,68,ID,1552666778,80,0.54,123.06,76.42,3.96
339,dossor,0,KZ,1552666778,55,47.52,52.98,37.81,10.45
340,shelburne,90,CA,1552666680,87,44.08,-80.2,44.01,16.11
341,massaguet,0,TD,1552665600,8,12.48,15.44,100.4,17.22
342,chenghai,0,CN,1552665600,100,23.46,116.77,60.8,19.73
343,charters towers,0,AU,1552666779,87,-20.07,146.27,73.9,6.2
345,warrington,40,GB,1552666683,66,53.39,-2.59,53.01,24.16
346,tiznit,12,MA,1552666519,77,29.7,-9.73,72.82,4.97
347,requena,20,ES,1552666752,33,39.49,-1.1,75,10.29
349,lensk,80,RU,1552666780,87,60.71,114.91,25.3,4.18
350,coquimbo,75,CL,1552665600,77,-29.95,-71.34,64.4,11.41
351,samarai,92,PG,1552666780,100,-10.62,150.67,78.67,11.23
352,san cristobal,75,EC,1552665685,60,-0.39,-78.55,68,4.7
353,trincomalee,0,LK,1552666780,79,8.58,81.23,77.41,7.2
354,vostok,64,RU,1552666430,79,46.45,135.83,17.11,2.17
355,chambas,40,CU,1552665000,58,22.19,-78.91,82.4,16.11
356,inverness,40,GB,1552666505,86,57.48,-4.23,45,23.04
357,lanxi,56,CN,1552666781,76,29.21,119.46,43.75,2.39
359,kezmarok,75,SK,1552666724,65,49.14,20.43,45,13.87
360,champagnole,75,FR,1552666747,66,46.75,5.91,55.4,10.29
361,salento,40,CO,1552665600,69,4.64,-75.57,78.8,4.7
362,kavieng,92,PG,1552666450,100,-2.57,150.8,78.31,12.8
363,hami,0,CN,1552666782,56,42.84,93.51,37,3.62
364,bure,20,NG,1552666782,14,10.52,10.33,99.64,13.69
365,long beach,75,US,1552666631,87,30.35,-89.15,61,12.75
366,pisco,0,PE,1552665600,30,-13.71,-76.2,71.6,9.17
367,tayoltita,88,MX,1552666782,45,24.11,-105.93,64.45,2.17
368,galle,75,US,1552666463,43,29.74,-97.91,55.99,12.75
369,la quinta,1,US,1552666712,19,33.68,-116.3,66.2,11.41
370,yar-sale,8,RU,1552666783,67,66.83,70.83,7.84,11.79
371,acari,36,BR,1552666499,73,-6.44,-36.64,82.54,9.55
372,najran,40,SA,1552662000,29,17.54,44.22,87.8,9.17
373,magistralnyy,8,RU,1552666783,76,56.17,107.45,18.1,2.95
375,bodden town,40,KY,1552662000,74,19.28,-81.25,82.4,14.99
376,upernavik,48,GL,1552666413,100,72.79,-56.15,-0.89,9.78
378,tazovskiy,48,RU,1552666784,78,67.47,78.7,6.85,7.54
379,bayshore gardens,75,US,1552666695,65,27.43,-82.59,84,9.17
380,biryusinsk,8,RU,1552666784,78,55.96,97.82,27.91,2.73
381,caceres,76,CO,1552666607,94,5.53,-74.53,70.93,2.17
382,chiredzi,100,ZW,1552666785,96,-21.05,31.67,72.55,15.48
383,ilulissat,75,GL,1552661400,54,69.22,-51.1,5,5.82
384,dehui,0,CN,1552665600,44,44.53,125.71,19.4,4.47
385,lom sak,92,TH,1552666785,60,16.78,101.24,78.04,3.06
388,iquique,75,CL,1552665600,57,-20.22,-70.14,75.2,12.75
389,kruisfontein,36,ZA,1552666483,82,-34,24.73,70.39,15.82
390,pozo colorado,88,PY,1552666786,100,-23.49,-58.8,75.52,8.43
392,talnakh,44,RU,1552666440,85,69.49,88.39,2.17,4.18
394,eyl,0,SO,1552666786,86,7.98,49.82,79.75,12.8
395,awbari,0,LY,1552666786,22,26.59,12.77,73.9,6.64
396,oksfjord,75,NO,1552666528,74,70.24,22.35,33.8,8.05
397,flinders,75,AU,1552666745,100,-34.58,150.85,71.01,11.41
398,asosa,0,ET,1552666787,14,10.07,34.53,92.89,6.31
400,faya,40,SA,1552662000,63,18.39,42.45,69.8,12.75
401,leningradskiy,32,RU,1552666489,78,69.38,178.42,-12.41,5.75
402,rorvik,0,NO,1552666501,86,64.86,11.24,39.2,8.05
403,dekar,0,BW,1552666787,19,-21.53,21.93,93.25,12.91
404,biak,56,ID,1552666446,79,-0.91,122.88,82.81,7.2
405,chaihe,0,CN,1552666788,70,44.77,129.68,10.09,3.29
406,morro bay,1,US,1552666658,75,35.37,-120.85,53.01,2.95
407,juneau,90,US,1552665360,86,58.3,-134.42,37.4,17.22
408,koumac,48,NC,1552666788,98,-20.56,164.28,74.71,3.29
409,tual,88,ID,1552666411,100,-5.67,132.75,82.63,11.56
410,yuzhno-kurilsk,8,RU,1552666788,94,44.03,145.86,31.87,14.7
411,half moon bay,20,US,1552666446,71,37.46,-122.43,53.01,3.18
412,iqaluit,90,CA,1552666371,70,63.75,-68.52,1,7.54
413,stromness,90,CA,1552666741,75,42.87,-79.55,46.99,6.93
414,benjamin constant,40,BR,1552665600,70,-4.38,-70.03,84.2,4.7
415,aksarayskiy,0,RU,1552665600,40,46.79,48.01,37.4,22.37
416,xingyi,8,CN,1552666789,60,24.19,102.82,62.29,6.53
417,grindavik,75,IS,1552665695,64,63.84,-22.43,41,10.29
418,colares,0,PT,1552666576,35,38.8,-9.45,75,4.7
419,tura,44,IN,1552666499,85,25.52,90.21,65.17,3.62
420,mitsamiouli,20,KM,1552665600,70,-11.38,43.28,84.2,3.36
422,arlit,0,NE,1552666534,45,18.74,7.39,87.22,6.53
424,stokmarknes,40,NO,1552666539,68,68.56,14.91,32,2.24
425,comodoro rivadavia,75,AR,1552665600,82,-45.87,-67.48,60.8,2.24
426,kitimat,90,CA,1552665623,88,54.02,-128.69,34,2.24
427,basco,75,US,1552666637,69,40.33,-91.2,39,18.34
428,muros,0,ES,1552666411,58,42.77,-9.06,64.99,8.05
429,jabinyanah,0,TN,1552662000,28,35.03,10.91,73.4,13.87
430,calape,20,PH,1552665600,78,9.89,123.87,80.6,8.05
431,lahaina,20,US,1552666691,88,20.87,-156.68,68,8.05
432,porto velho,40,BR,1552665600,84,-8.75,-63.87,86,3.36
434,berlevag,75,NO,1552665000,100,70.86,29.09,32,21.92
435,udachnyy,80,RU,1552666558,82,66.42,112.4,17.65,3.74
